[2025-04-09 18:24:39] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:39, systemid=3, lat=35.0683093, lon=129.0868031, alt=28.431, dist_traveled=null, wp_dist=807, dist_to_home=1.3462046254820941E7, vertical_speed=-0.13952416, ground_speed=24.970484, wind_vel=0.01266997, airspeed=24.890892, gps_hdop=1.21, roll=-2.21, pitch=-2.71, yaw=44.78, ch3percent=63.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1636}
[2025-04-09 18:24:50] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:50, systemid=3, lat=35.0703109, lon=129.0885661, alt=29.888, dist_traveled=null, wp_dist=533, dist_to_home=1.3462097514490088E7, vertical_speed=0.029707829, ground_speed=24.95123, wind_vel=0.0051757675, airspeed=24.929821, gps_hdop=1.21, roll=0.87, pitch=-2.26, yaw=32.64, ch3percent=63.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1631}
[2025-04-09 18:24:51] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:51, systemid=3, lat=35.0704999, lon=129.0887143, alt=29.918, dist_traveled=null, wp_dist=508, dist_to_home=1.346210084719182E7, vertical_speed=0.03736987, ground_speed=24.97457, wind_vel=0.004330042, airspeed=24.910234, gps_hdop=1.21, roll=0.66, pitch=-2.26, yaw=33.01, ch3percent=63.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1635}
[2025-04-09 18:24:52] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:52, systemid=3, lat=35.0706883, lon=129.0888633, alt=29.949, dist_traveled=null, wp_dist=483, dist_to_home=1.3462104273961727E7, vertical_speed=0.0334784, ground_speed=24.981905, wind_vel=0.0039141322, airspeed=24.919682, gps_hdop=1.21, roll=0.51, pitch=-2.30, yaw=33.15, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:24:53] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:53, systemid=3, lat=35.0708766, lon=129.0890131, alt=29.966, dist_traveled=null, wp_dist=458, dist_to_home=1.3462107771283915E7, vertical_speed=0.0043933387, ground_speed=24.996721, wind_vel=0.003431562, airspeed=24.949291, gps_hdop=1.21, roll=0.45, pitch=-2.33, yaw=33.42, ch3percent=63.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1631}
[2025-04-09 18:24:54] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:54, systemid=3, lat=35.0710645, lon=129.0891636, alt=29.958, dist_traveled=null, wp_dist=433, dist_to_home=1.3462111345020786E7, vertical_speed=0.038133316, ground_speed=24.993214, wind_vel=0.003378796, airspeed=24.958885, gps_hdop=1.21, roll=0.09, pitch=-2.21, yaw=33.51, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:24:55] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:55, systemid=3, lat=35.0712526, lon=129.0893144, alt=29.99, dist_traveled=null, wp_dist=408, dist_to_home=1.3462114933966868E7, vertical_speed=0.031796977, ground_speed=25.007872, wind_vel=0.0024317063, airspeed=24.966976, gps_hdop=1.21, roll=-0.13, pitch=-2.29, yaw=33.52, ch3percent=63.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1632}
[2025-04-09 18:24:56] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:56, systemid=3, lat=35.0714409, lon=129.0894651, alt=29.996, dist_traveled=null, wp_dist=383, dist_to_home=1.3462118505135916E7, vertical_speed=0.016919209, ground_speed=25.030931, wind_vel=0.001422693, airspeed=24.946102, gps_hdop=1.21, roll=0.09, pitch=-2.38, yaw=33.42, ch3percent=63.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1635}
[2025-04-09 18:24:57] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:57, systemid=3, lat=35.0716292, lon=129.0896158, alt=30.012, dist_traveled=null, wp_dist=358, dist_to_home=1.346212207618081E7, vertical_speed=0.021843469, ground_speed=25.033073, wind_vel=0.0010062557, airspeed=24.980795, gps_hdop=1.21, roll=0.11, pitch=-2.38, yaw=33.53, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:24:58] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:58, systemid=3, lat=35.0718176, lon=129.0897667, alt=30.005, dist_traveled=null, wp_dist=332, dist_to_home=1.346212565889093E7, vertical_speed=0.0062676272, ground_speed=25.043285, wind_vel=0.0015970331, airspeed=24.95845, gps_hdop=1.21, roll=0.18, pitch=-2.41, yaw=33.54, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:24:59] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:59, systemid=3, lat=35.0720059, lon=129.0899175, alt=30.016, dist_traveled=null, wp_dist=307, dist_to_home=1.3462129237933738E7, vertical_speed=0.0026405335, ground_speed=25.062853, wind_vel=0.0031923708, airspeed=24.938059, gps_hdop=1.21, roll=-0.04, pitch=-2.41, yaw=33.57, ch3percent=63.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1637}
[2025-04-09 18:25:00] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:00, systemid=3, lat=35.0721934, lon=129.0900675, alt=30.024, dist_traveled=null, wp_dist=282, dist_to_home=1.3462132788509402E7, vertical_speed=-0.010990168, ground_speed=25.01264, wind_vel=0.0015650211, airspeed=25.02236, gps_hdop=1.21, roll=0.09, pitch=-2.35, yaw=33.48, ch3percent=63.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1632}
[2025-04-09 18:25:01] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:01, systemid=3, lat=35.0723808, lon=129.0902175, alt=29.992, dist_traveled=null, wp_dist=258, dist_to_home=1.346213634366547E7, vertical_speed=-0.045912694, ground_speed=24.979168, wind_vel=4.673437E-4, airspeed=24.994911, gps_hdop=1.21, roll=0.12, pitch=-2.35, yaw=33.48, ch3percent=63.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1632}
[2025-04-09 18:25:02] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:02, systemid=3, lat=35.0725688, lon=129.0903678, alt=29.983, dist_traveled=null, wp_dist=233, dist_to_home=1.3462139895216206E7, vertical_speed=-0.03167511, ground_speed=24.98982, wind_vel=9.773673E-4, airspeed=24.998833, gps_hdop=1.21, roll=0.23, pitch=-2.31, yaw=33.47, ch3percent=63.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1634}
[2025-04-09 18:25:03] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:03, systemid=3, lat=35.0727571, lon=129.0905187, alt=29.988, dist_traveled=null, wp_dist=207, dist_to_home=1.3462143482009808E7, vertical_speed=0.06202576, ground_speed=24.999876, wind_vel=0.0010527486, airspeed=24.984753, gps_hdop=1.21, roll=0.25, pitch=-2.23, yaw=33.50, ch3percent=63.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1636}
[2025-04-09 18:25:04] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:04, systemid=3, lat=35.0729455, lon=129.0906695, alt=30.0, dist_traveled=null, wp_dist=182, dist_to_home=1.3462147055729382E7, vertical_speed=-0.019708263, ground_speed=25.0227, wind_vel=6.433025E-4, airspeed=25.004402, gps_hdop=1.21, roll=0.05, pitch=-2.43, yaw=33.56, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:25:05] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:05, systemid=3, lat=35.0731339, lon=129.0908202, alt=30.014, dist_traveled=null, wp_dist=157, dist_to_home=1.3462150621078534E7, vertical_speed=0.0126341265, ground_speed=25.032887, wind_vel=1.7415694E-4, airspeed=25.007544, gps_hdop=1.21, roll=0.30, pitch=-2.33, yaw=33.46, ch3percent=63.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1634}
[2025-04-09 18:25:06] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:06, systemid=3, lat=35.0733225, lon=129.0909711, alt=30.025, dist_traveled=null, wp_dist=132, dist_to_home=1.3462154193388315E7, vertical_speed=0.033353176, ground_speed=25.038408, wind_vel=1.3528223E-4, airspeed=25.021322, gps_hdop=1.21, roll=0.17, pitch=-2.31, yaw=33.56, ch3percent=63.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1632}
[2025-04-09 18:25:07] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:07, systemid=3, lat=35.0735106, lon=129.0911218, alt=30.037, dist_traveled=null, wp_dist=107, dist_to_home=1.3462157772599943E7, vertical_speed=0.022483468, ground_speed=25.023565, wind_vel=2.6025914E-4, airspeed=24.997217, gps_hdop=1.21, roll=0.13, pitch=-2.34, yaw=33.62, ch3percent=63.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1631}
[2025-04-09 18:25:08] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:08, systemid=3, lat=35.0736989, lon=129.091273, alt=30.035, dist_traveled=null, wp_dist=82, dist_to_home=1.3462161383510202E7, vertical_speed=0.008146535, ground_speed=25.048264, wind_vel=0.0018094009, airspeed=24.95882, gps_hdop=1.21, roll=0.03, pitch=-2.40, yaw=33.54, ch3percent=63.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1632}
[2025-04-09 18:25:09] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:09, systemid=3, lat=35.0738875, lon=129.091424, alt=30.041, dist_traveled=null, wp_dist=57, dist_to_home=1.3462164963692669E7, vertical_speed=-0.02042023, ground_speed=25.074438, wind_vel=0.0037968017, airspeed=24.971382, gps_hdop=1.21, roll=-0.09, pitch=-2.42, yaw=33.52, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:25:10] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:10, systemid=3, lat=35.0740727, lon=129.091581, alt=29.995, dist_traveled=null, wp_dist=653, dist_to_home=1.346216919843727E7, vertical_speed=-0.7215183, ground_speed=25.142426, wind_vel=0.006693563, airspeed=24.980955, gps_hdop=1.21, roll=70.03, pitch=-1.99, yaw=42.96, ch3percent=75.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1759}
[2025-04-09 18:25:11] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:11, systemid=3, lat=35.0741322, lon=129.091827, alt=31.009, dist_traveled=null, wp_dist=667, dist_to_home=1.3462186684671285E7, vertical_speed=1.3237708, ground_speed=23.089272, wind_vel=0.007112193, airspeed=23.7963, gps_hdop=1.21, roll=53.81, pitch=2.60, yaw=88.38, ch3percent=29.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1290}
[2025-04-09 18:25:12] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:12, systemid=3, lat=35.074103, lon=129.0920714, alt=30.009, dist_traveled=null, wp_dist=671, dist_to_home=1.3462208211243875E7, vertical_speed=-2.2117603, ground_speed=22.499037, wind_vel=0.017751338, airspeed=22.67049, gps_hdop=1.21, roll=53.83, pitch=-4.66, yaw=107.28, ch3percent=44.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1444}
[2025-04-09 18:25:13] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:13, systemid=3, lat=35.0739921, lon=129.092277, alt=27.67, dist_traveled=null, wp_dist=667, dist_to_home=1.3462230381480029E7, vertical_speed=-2.0471268, ground_speed=23.160461, wind_vel=0.018166509, airspeed=23.06197, gps_hdop=1.21, roll=54.75, pitch=-3.71, yaw=137.94, ch3percent=61.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1616}
[2025-04-09 18:25:14] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:14, systemid=3, lat=35.0738011, lon=129.0923838, alt=26.112, dist_traveled=null, wp_dist=651, dist_to_home=1.3462248172588326E7, vertical_speed=-1.0429473, ground_speed=24.113241, wind_vel=0.014704342, airspeed=23.919138, gps_hdop=1.21, roll=53.47, pitch=-1.62, yaw=169.49, ch3percent=68.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1686}
[2025-04-09 18:25:15] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:15, systemid=3, lat=35.0735839, lon=129.0923646, alt=25.288, dist_traveled=null, wp_dist=628, dist_to_home=1.3462256806204135E7, vertical_speed=-0.7025627, ground_speed=24.70645, wind_vel=0.014237307, airspeed=24.566463, gps_hdop=1.21, roll=46.54, pitch=-1.66, yaw=-166.43, ch3percent=64.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1647}
[2025-04-09 18:25:16] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:16, systemid=3, lat=35.0733804, lon=129.0922521, alt=24.476, dist_traveled=null, wp_dist=603, dist_to_home=1.3462257101808835E7, vertical_speed=-0.82541585, ground_speed=24.961851, wind_vel=0.016246552, airspeed=24.915792, gps_hdop=1.21, roll=32.22, pitch=-3.02, yaw=-150.82, ch3percent=61.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1615}
[2025-04-09 18:25:17] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:17, systemid=3, lat=35.0731988, lon=129.0920906, alt=23.755, dist_traveled=null, wp_dist=579, dist_to_home=1.3462252326609245E7, vertical_speed=-0.49068895, ground_speed=25.160051, wind_vel=0.018934052, airspeed=25.078798, gps_hdop=1.21, roll=12.21, pitch=-3.39, yaw=-141.97, ch3percent=63.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1636}
[2025-04-09 18:25:18] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:18, systemid=3, lat=35.0730247, lon=129.0919105, alt=23.534, dist_traveled=null, wp_dist=555, dist_to_home=1.3462245664730944E7, vertical_speed=0.117218755, ground_speed=25.336088, wind_vel=0.020501452, airspeed=25.230085, gps_hdop=1.21, roll=-3.03, pitch=-2.24, yaw=-139.54, ch3percent=67.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1678}
[2025-04-09 18:25:19] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:19, systemid=3, lat=35.0728482, lon=129.0917346, alt=23.931, dist_traveled=null, wp_dist=531, dist_to_home=1.3462239461946012E7, vertical_speed=0.545964, ground_speed=25.42643, wind_vel=0.020926222, airspeed=25.323574, gps_hdop=1.21, roll=-10.36, pitch=-1.22, yaw=-141.50, ch3percent=69.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1696}
[2025-04-09 18:25:20] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:25:20, systemid=3, lat=35.0726637, lon=129.0915732, alt=24.652, dist_traveled=null, wp_dist=507, dist_to_home=1.3462234831014626E7, vertical_speed=0.78890944, ground_speed=25.361233, wind_vel=0.018281944, airspeed=25.3886, gps_hdop=1.21, roll=-12.65, pitch=-0.53, yaw=-145.45, ch3percent=69.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1695}
