[2025-04-10 05:19:37] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:37, systemid=3, lat=35.0729846, lon=129.0906986, alt=30.024, dist_traveled=null, wp_dist=177, dist_to_home=1.3462147616258275E7, vertical_speed=0.026922783, ground_speed=25.50125, wind_vel=0.0, airspeed=24.976934, gps_hdop=1.21, roll=0.14, pitch=-2.45, yaw=32.66, ch3percent=65.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1654}
[2025-04-10 05:19:38] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:38, systemid=3, lat=35.073176, lon=129.0908519, alt=30.015, dist_traveled=null, wp_dist=151, dist_to_home=1.346215125487254E7, vertical_speed=0.010519842, ground_speed=25.49063, wind_vel=0.1852124, airspeed=24.98156, gps_hdop=1.21, roll=-0.01, pitch=-2.40, yaw=32.70, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:52] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:52, systemid=3, lat=35.0727274, lon=129.0916131, alt=26.143, dist_traveled=null, wp_dist=514, dist_to_home=1.3462235124978771E7, vertical_speed=0.5681374, ground_speed=25.04406, wind_vel=0.12208139, airspeed=24.546507, gps_hdop=1.21, roll=-12.59, pitch=-0.90, yaw=-144.93, ch3percent=69.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1698, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:53] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:53, systemid=3, lat=35.0725366, lon=129.0914667, alt=26.708, dist_traveled=null, wp_dist=489, dist_to_home=1.3462232027213208E7, vertical_speed=0.5700925, ground_speed=25.168602, wind_vel=0.107786134, airspeed=24.637249, gps_hdop=1.21, roll=-12.92, pitch=-0.82, yaw=-149.20, ch3percent=69.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1697, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:54] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:54, systemid=3, lat=35.0723363, lon=129.0913376, alt=27.299, dist_traveled=null, wp_dist=464, dist_to_home=1.346223080276081E7, vertical_speed=0.49118716, ground_speed=25.247032, wind_vel=0.09451553, airspeed=24.748398, gps_hdop=1.21, roll=-11.32, pitch=-1.14, yaw=-153.36, ch3percent=68.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1687, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:55] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:55, systemid=3, lat=35.0721293, lon=129.0912247, alt=27.778, dist_traveled=null, wp_dist=439, dist_to_home=1.3462231229220092E7, vertical_speed=0.46794817, ground_speed=25.271406, wind_vel=0.08201706, airspeed=24.808058, gps_hdop=1.21, roll=-8.62, pitch=-1.25, yaw=-156.78, ch3percent=67.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1679, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:56] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:56, systemid=3, lat=35.0719171, lon=129.0911242, alt=28.174, dist_traveled=null, wp_dist=414, dist_to_home=1.346223292268916E7, vertical_speed=0.34996805, ground_speed=25.29495, wind_vel=0.07173267, airspeed=24.797752, gps_hdop=1.21, roll=-5.90, pitch=-1.54, yaw=-159.37, ch3percent=67.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1674, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:57] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:57, systemid=3, lat=35.0717024, lon=129.0910324, alt=28.504, dist_traveled=null, wp_dist=389, dist_to_home=1.3462235451067377E7, vertical_speed=0.2738758, ground_speed=25.312128, wind_vel=0.06357519, airspeed=24.825218, gps_hdop=1.21, roll=-3.49, pitch=-1.76, yaw=-161.08, ch3percent=67.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1671, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:58] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:58, systemid=3, lat=35.0714872, lon=129.0909462, alt=28.784, dist_traveled=null, wp_dist=363, dist_to_home=1.3462238464655112E7, vertical_speed=0.20881297, ground_speed=25.281662, wind_vel=0.05853027, airspeed=24.902225, gps_hdop=1.21, roll=-1.50, pitch=-1.90, yaw=-161.99, ch3percent=66.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1666, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:59] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:59, systemid=3, lat=35.0712705, lon=129.090862, alt=29.016, dist_traveled=null, wp_dist=338, dist_to_home=1.3462241713622553E7, vertical_speed=0.20555444, ground_speed=25.295893, wind_vel=0.058376767, airspeed=24.868862, gps_hdop=1.21, roll=-0.34, pitch=-1.96, yaw=-162.37, ch3percent=66.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1667, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:00] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:00, systemid=3, lat=35.071053, lon=129.0907783, alt=29.208, dist_traveled=null, wp_dist=313, dist_to_home=1.3462245041350283E7, vertical_speed=0.15754607, ground_speed=25.320427, wind_vel=0.061720118, airspeed=24.893852, gps_hdop=1.21, roll=0.51, pitch=-2.06, yaw=-162.40, ch3percent=66.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1663, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:01] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:01, systemid=3, lat=35.0708358, lon=129.0906937, alt=29.393, dist_traveled=null, wp_dist=287, dist_to_home=1.3462248280650621E7, vertical_speed=0.14619511, ground_speed=25.344603, wind_vel=0.0672243, airspeed=24.9088, gps_hdop=1.21, roll=0.86, pitch=-2.14, yaw=-162.20, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:02] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:02, systemid=3, lat=35.0706189, lon=129.0906077, alt=29.531, dist_traveled=null, wp_dist=262, dist_to_home=1.3462251390290547E7, vertical_speed=0.106434405, ground_speed=25.354174, wind_vel=0.07380779, airspeed=24.895582, gps_hdop=1.21, roll=0.97, pitch=-2.18, yaw=-161.87, ch3percent=66.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1661, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:03] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:03, systemid=3, lat=35.070402, lon=129.0905202, alt=29.652, dist_traveled=null, wp_dist=237, dist_to_home=1.3462254376132334E7, vertical_speed=0.07847417, ground_speed=25.368288, wind_vel=0.08140418, airspeed=24.945868, gps_hdop=1.21, roll=1.10, pitch=-2.31, yaw=-161.61, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:04] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:04, systemid=3, lat=35.0701854, lon=129.0904313, alt=29.757, dist_traveled=null, wp_dist=211, dist_to_home=1.3462257232311152E7, vertical_speed=0.083957724, ground_speed=25.378963, wind_vel=0.08921337, airspeed=24.909454, gps_hdop=1.21, roll=1.02, pitch=-2.32, yaw=-161.32, ch3percent=65.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1654, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:05] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:05, systemid=3, lat=35.0699692, lon=129.0903411, alt=29.828, dist_traveled=null, wp_dist=186, dist_to_home=1.3462259962369163E7, vertical_speed=0.042021375, ground_speed=25.392996, wind_vel=0.0966644, airspeed=24.90146, gps_hdop=1.21, roll=0.93, pitch=-2.38, yaw=-160.99, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:06] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:06, systemid=3, lat=35.0697551, lon=129.0902503, alt=29.879, dist_traveled=null, wp_dist=160, dist_to_home=1.346226254407708E7, vertical_speed=0.051999174, ground_speed=25.337465, wind_vel=0.1062152, airspeed=24.902729, gps_hdop=1.21, roll=0.49, pitch=-2.32, yaw=-160.78, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:07] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:07, systemid=3, lat=35.0695402, lon=129.0901584, alt=29.888, dist_traveled=null, wp_dist=135, dist_to_home=1.3462265072595403E7, vertical_speed=0.017974826, ground_speed=25.335285, wind_vel=0.11576019, airspeed=24.905571, gps_hdop=1.21, roll=0.41, pitch=-2.31, yaw=-160.56, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:08] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:08, systemid=3, lat=35.0693259, lon=129.0900664, alt=29.904, dist_traveled=null, wp_dist=110, dist_to_home=1.3462267564544963E7, vertical_speed=-0.01887096, ground_speed=25.352987, wind_vel=0.1244741, airspeed=24.924505, gps_hdop=1.21, roll=0.13, pitch=-2.45, yaw=-160.54, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:09] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:09, systemid=3, lat=35.0691092, lon=129.0899733, alt=29.922, dist_traveled=null, wp_dist=84, dist_to_home=1.3462270078552535E7, vertical_speed=0.034713626, ground_speed=25.40429, wind_vel=0.1315695, airspeed=24.933512, gps_hdop=1.21, roll=0.08, pitch=-2.29, yaw=-160.59, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:10] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:10, systemid=3, lat=35.068893, lon=129.0898807, alt=29.984, dist_traveled=null, wp_dist=59, dist_to_home=1.3462272610173257E7, vertical_speed=0.043306354, ground_speed=25.432146, wind_vel=0.1382944, airspeed=24.964626, gps_hdop=1.21, roll=-0.22, pitch=-2.40, yaw=-160.52, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:11] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:11, systemid=3, lat=35.068677, lon=129.0897883, alt=30.009, dist_traveled=null, wp_dist=33, dist_to_home=1.3462275148776922E7, vertical_speed=0.048022695, ground_speed=25.449423, wind_vel=0.1451865, airspeed=24.94487, gps_hdop=1.21, roll=-0.02, pitch=-2.33, yaw=-160.58, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:12] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:12, systemid=3, lat=35.0684646, lon=129.0896862, alt=29.998, dist_traveled=null, wp_dist=263, dist_to_home=1.3462276718025923E7, vertical_speed=0.07117391, ground_speed=25.549494, wind_vel=0.15043426, airspeed=24.966742, gps_hdop=1.21, roll=43.89, pitch=0.83, yaw=-153.45, ch3percent=79.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1794, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:13] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:13, systemid=3, lat=35.0682777, lon=129.0895245, alt=30.556, dist_traveled=null, wp_dist=239, dist_to_home=1.3462272172779975E7, vertical_speed=-0.20881863, ground_speed=25.515343, wind_vel=0.15720518, airspeed=25.061945, gps_hdop=1.21, roll=25.20, pitch=-2.49, yaw=-142.25, ch3percent=64.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1644, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:14] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:14, systemid=3, lat=35.0681117, lon=129.0893311, alt=30.45, dist_traveled=null, wp_dist=214, dist_to_home=1.3462264030226035E7, vertical_speed=-0.12959996, ground_speed=25.478004, wind_vel=0.16215907, airspeed=25.0124, gps_hdop=1.21, roll=20.02, pitch=-2.36, yaw=-134.03, ch3percent=64.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1641, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:15] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:15, systemid=3, lat=35.0679662, lon=129.0891156, alt=30.248, dist_traveled=null, wp_dist=189, dist_to_home=1.3462253100875476E7, vertical_speed=-0.2018968, ground_speed=25.43386, wind_vel=0.16519317, airspeed=24.97112, gps_hdop=1.21, roll=13.78, pitch=-2.65, yaw=-127.89, ch3percent=64.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1641, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:16] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:16, systemid=3, lat=35.0678359, lon=129.088888, alt=30.043, dist_traveled=null, wp_dist=163, dist_to_home=1.3462240458680248E7, vertical_speed=-0.21426445, ground_speed=25.38938, wind_vel=0.16780682, airspeed=24.97983, gps_hdop=1.21, roll=7.29, pitch=-2.82, yaw=-124.07, ch3percent=64.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1644, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:17] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:17, systemid=3, lat=35.0677128, lon=129.0886531, alt=29.913, dist_traveled=null, wp_dist=138, dist_to_home=1.3462226875728536E7, vertical_speed=-0.10255522, ground_speed=25.38998, wind_vel=0.17021666, airspeed=24.949888, gps_hdop=1.21, roll=2.65, pitch=-2.67, yaw=-122.05, ch3percent=65.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1651, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:20:18] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:20:18, systemid=3, lat=35.0675924, lon=129.0884156, alt=29.841, dist_traveled=null, wp_dist=113, dist_to_home=1.3462212951256933E7, vertical_speed=-0.046027467, ground_speed=25.415802, wind_vel=0.17295, airspeed=24.995874, gps_hdop=1.21, roll=-0.45, pitch=-2.52, yaw=-121.46, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lat=0.0, lon=0.0}}
