[2025-04-10 03:27:46] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:46, systemid=3, lat=35.073569, lon=129.0923471, alt=27.183, dist_traveled=null, wp_dist=626, dist_to_home=1.3462256064034782E7, vertical_speed=-0.56596994, ground_speed=24.129744, wind_vel=0.0, airspeed=23.714626, gps_hdop=1.21, roll=42.74, pitch=-1.38, yaw=-161.67, ch3percent=59.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1599}
[2025-04-10 03:27:47] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:47, systemid=3, lat=35.0732837, lon=129.0921612, alt=26.074, dist_traveled=null, wp_dist=590, dist_to_home=1.3462254154778158E7, vertical_speed=-0.74361324, ground_speed=24.314648, wind_vel=0.17087936, airspeed=23.863455, gps_hdop=1.21, roll=21.40, pitch=-3.26, yaw=-145.87, ch3percent=59.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1599, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:58] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:58, systemid=3, lat=35.0711026, lon=129.0907967, alt=29.419, dist_traveled=null, wp_dist=319, dist_to_home=1.3462244225794353E7, vertical_speed=0.15409172, ground_speed=25.293867, wind_vel=0.095992185, airspeed=24.809223, gps_hdop=1.21, roll=0.27, pitch=-2.39, yaw=-163.26, ch3percent=65.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1654, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:59] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:59, systemid=3, lat=35.0708859, lon=129.0907124, alt=29.58, dist_traveled=null, wp_dist=294, dist_to_home=1.3462247466339506E7, vertical_speed=0.110775456, ground_speed=25.333494, wind_vel=0.10173507, airspeed=24.74119, gps_hdop=1.21, roll=0.72, pitch=-2.48, yaw=-163.12, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:00] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:00, systemid=3, lat=35.0706694, lon=129.0906267, alt=29.722, dist_traveled=null, wp_dist=269, dist_to_home=1.3462250581928222E7, vertical_speed=0.13436702, ground_speed=25.384535, wind_vel=0.107278496, airspeed=24.781086, gps_hdop=1.21, roll=1.03, pitch=-2.38, yaw=-162.70, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:01] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:01, systemid=3, lat=35.0704537, lon=129.0905392, alt=29.864, dist_traveled=null, wp_dist=243, dist_to_home=1.3462253511353295E7, vertical_speed=0.04528826, ground_speed=25.382992, wind_vel=0.11334189, airspeed=24.794115, gps_hdop=1.21, roll=0.82, pitch=-2.62, yaw=-162.36, ch3percent=65.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1653, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:02] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:02, systemid=3, lat=35.0702386, lon=129.0904505, alt=29.935, dist_traveled=null, wp_dist=218, dist_to_home=1.3462256313499484E7, vertical_speed=0.010294946, ground_speed=25.382687, wind_vel=0.11947281, airspeed=24.77928, gps_hdop=1.21, roll=0.64, pitch=-2.59, yaw=-161.99, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:03] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:03, systemid=3, lat=35.0700239, lon=129.0903604, alt=29.996, dist_traveled=null, wp_dist=193, dist_to_home=1.3462258981279502E7, vertical_speed=0.02837266, ground_speed=25.379417, wind_vel=0.1258149, airspeed=24.812557, gps_hdop=1.21, roll=0.59, pitch=-2.56, yaw=-161.79, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:04] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:04, systemid=3, lat=35.069809, lon=129.0902693, alt=30.024, dist_traveled=null, wp_dist=167, dist_to_home=1.346226157589808E7, vertical_speed=-0.02425229, ground_speed=25.391813, wind_vel=0.13231821, airspeed=24.843096, gps_hdop=1.21, roll=0.23, pitch=-2.65, yaw=-161.58, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:05] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:05, systemid=3, lat=35.0695937, lon=129.0901773, alt=30.018, dist_traveled=null, wp_dist=142, dist_to_home=1.3462264115007002E7, vertical_speed=0.020159446, ground_speed=25.429146, wind_vel=0.13894667, airspeed=24.889776, gps_hdop=1.21, roll=0.08, pitch=-2.47, yaw=-161.47, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:06] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:06, systemid=3, lat=35.0693781, lon=129.0900851, alt=30.008, dist_traveled=null, wp_dist=117, dist_to_home=1.3462266651628532E7, vertical_speed=-0.013105016, ground_speed=25.443457, wind_vel=0.14615464, airspeed=24.913822, gps_hdop=1.21, roll=-0.13, pitch=-2.53, yaw=-161.51, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:07] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:07, systemid=3, lat=35.069164, lon=129.0899938, alt=30.015, dist_traveled=null, wp_dist=91, dist_to_home=1.3462269191819753E7, vertical_speed=-0.014887057, ground_speed=25.397406, wind_vel=0.15462357, airspeed=24.923994, gps_hdop=1.21, roll=0.02, pitch=-2.55, yaw=-161.53, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:08] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:08, systemid=3, lat=35.0689489, lon=129.089902, alt=29.997, dist_traveled=null, wp_dist=66, dist_to_home=1.3462271737705914E7, vertical_speed=0.019728033, ground_speed=25.411036, wind_vel=0.16306956, airspeed=24.971548, gps_hdop=1.21, roll=-0.17, pitch=-2.49, yaw=-161.45, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:09] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:09, systemid=3, lat=35.0687331, lon=129.0898099, alt=30.015, dist_traveled=null, wp_dist=41, dist_to_home=1.3462274291669887E7, vertical_speed=-0.028639497, ground_speed=25.413925, wind_vel=0.1705483, airspeed=24.916956, gps_hdop=1.21, roll=-0.24, pitch=-2.65, yaw=-161.47, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:10] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:10, systemid=3, lat=35.0685175, lon=129.0897157, alt=30.003, dist_traveled=null, wp_dist=269, dist_to_home=1.3462276662940787E7, vertical_speed=-0.11303944, ground_speed=25.49781, wind_vel=0.17538777, airspeed=24.951246, gps_hdop=1.21, roll=38.49, pitch=-2.96, yaw=-158.18, ch3percent=71.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1719, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:11] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:11, systemid=3, lat=35.0683225, lon=129.0895665, alt=30.53, dist_traveled=null, wp_dist=246, dist_to_home=1.3462273529524017E7, vertical_speed=0.34731364, ground_speed=25.68788, wind_vel=0.17916721, airspeed=25.110909, gps_hdop=1.21, roll=23.22, pitch=-1.84, yaw=-145.03, ch3percent=64.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1645, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:12] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:12, systemid=3, lat=35.0681508, lon=129.0893812, alt=30.438, dist_traveled=null, wp_dist=221, dist_to_home=1.3462266323068185E7, vertical_speed=-0.0707342, ground_speed=25.594711, wind_vel=0.18085858, airspeed=25.072384, gps_hdop=1.21, roll=22.59, pitch=-1.98, yaw=-136.41, ch3percent=65.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1650, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:13] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:13, systemid=3, lat=35.0680019, lon=129.089171, alt=30.266, dist_traveled=null, wp_dist=196, dist_to_home=1.346225599073542E7, vertical_speed=-0.21504325, ground_speed=25.475868, wind_vel=0.18190312, airspeed=25.007973, gps_hdop=1.21, roll=15.70, pitch=-2.63, yaw=-129.57, ch3percent=64.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1642, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:14] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:14, systemid=3, lat=35.0678683, lon=129.0889444, alt=30.019, dist_traveled=null, wp_dist=170, dist_to_home=1.3462243586236069E7, vertical_speed=-0.19887495, ground_speed=25.45841, wind_vel=0.18228416, airspeed=24.993444, gps_hdop=1.21, roll=8.71, pitch=-2.85, yaw=-125.14, ch3percent=64.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1647, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:15] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:15, systemid=3, lat=35.0677439, lon=129.0887094, alt=29.8, dist_traveled=null, wp_dist=145, dist_to_home=1.3462230056204762E7, vertical_speed=-0.09201605, ground_speed=25.474024, wind_vel=0.1822361, airspeed=25.013176, gps_hdop=1.21, roll=3.37, pitch=-2.61, yaw=-122.81, ch3percent=65.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1652, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:16] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:16, systemid=3, lat=35.0676232, lon=129.0884709, alt=29.73, dist_traveled=null, wp_dist=119, dist_to_home=1.346221606340156E7, vertical_speed=-0.020232946, ground_speed=25.4969, wind_vel=0.18252468, airspeed=25.016533, gps_hdop=1.21, roll=-0.25, pitch=-2.56, yaw=-122.10, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:17] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:17, systemid=3, lat=35.0675025, lon=129.0882324, alt=29.721, dist_traveled=null, wp_dist=94, dist_to_home=1.3462202070475154E7, vertical_speed=0.041835207, ground_speed=25.510218, wind_vel=0.18337414, airspeed=24.970154, gps_hdop=1.21, roll=-2.04, pitch=-2.40, yaw=-122.32, ch3percent=66.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1662, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:18] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:18, systemid=3, lat=35.0673796, lon=129.0879959, alt=29.751, dist_traveled=null, wp_dist=68, dist_to_home=1.346218834582568E7, vertical_speed=0.03237113, ground_speed=25.526733, wind_vel=0.18524924, airspeed=25.056868, gps_hdop=1.21, roll=-2.84, pitch=-2.39, yaw=-123.20, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:19] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:19, systemid=3, lat=35.0672543, lon=129.0877636, alt=29.848, dist_traveled=null, wp_dist=43, dist_to_home=1.3462175080293247E7, vertical_speed=0.075588286, ground_speed=25.443792, wind_vel=0.18878928, airspeed=25.015877, gps_hdop=1.21, roll=-2.79, pitch=-2.29, yaw=-124.14, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:20] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:20, systemid=3, lat=35.0671256, lon=129.087533, alt=29.901, dist_traveled=null, wp_dist=18, dist_to_home=1.3462162114726264E7, vertical_speed=-0.020307567, ground_speed=25.41831, wind_vel=0.19286026, airspeed=25.018517, gps_hdop=1.21, roll=-2.63, pitch=-2.55, yaw=-125.09, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:21] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:21, systemid=3, lat=35.066994, lon=129.0873046, alt=29.928, dist_traveled=null, wp_dist=80, dist_to_home=1.3462149466844792E7, vertical_speed=0.03274971, ground_speed=25.437008, wind_vel=0.19678302, airspeed=24.979797, gps_hdop=1.21, roll=-1.90, pitch=-2.48, yaw=-125.90, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:22] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:22, systemid=3, lat=35.0668721, lon=129.0870668, alt=29.889, dist_traveled=null, wp_dist=101, dist_to_home=1.3462135587458886E7, vertical_speed=0.1705997, ground_speed=25.792448, wind_vel=0.19921486, airspeed=25.065779, gps_hdop=1.21, roll=54.47, pitch=3.03, yaw=-111.96, ch3percent=98.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1980, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:23] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:23, systemid=3, lat=35.0668342, lon=129.0867898, alt=31.175, dist_traveled=null, wp_dist=79, dist_to_home=1.3462114524980625E7, vertical_speed=-0.12655658, ground_speed=25.628593, wind_vel=0.20120852, airspeed=25.120949, gps_hdop=1.21, roll=38.66, pitch=-2.00, yaw=-96.86, ch3percent=64.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1647, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:24] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:24, systemid=3, lat=35.0668501, lon=129.0865108, alt=31.069, dist_traveled=null, wp_dist=957, dist_to_home=1.3462090767585857E7, vertical_speed=-0.1801215, ground_speed=25.687971, wind_vel=0.20212926, airspeed=25.098688, gps_hdop=1.21, roll=54.16, pitch=-1.36, yaw=-77.97, ch3percent=78.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1787, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:25] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:25, systemid=3, lat=35.0669728, lon=129.0862751, alt=31.74, dist_traveled=null, wp_dist=958, dist_to_home=1.3462065559051502E7, vertical_speed=1.8726325, ground_speed=26.084816, wind_vel=0.20002526, airspeed=25.7223, gps_hdop=1.21, roll=54.28, pitch=4.44, yaw=-41.88, ch3percent=74.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1740, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:26] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:26, systemid=3, lat=35.067173, lon=129.0861325, alt=32.55, dist_traveled=null, wp_dist=946, dist_to_home=1.3462044384340227E7, vertical_speed=-0.04557746, ground_speed=25.784132, wind_vel=0.19259724, airspeed=25.437181, gps_hdop=1.21, roll=52.73, pitch=0.01, yaw=-22.94, ch3percent=65.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1654, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:28:27] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:28:27, systemid=3, lat=35.0673998, lon=129.0860876, alt=32.235, dist_traveled=null, wp_dist=928, dist_to_home=1.3462030016297018E7, vertical_speed=-0.6330462, ground_speed=25.526289, wind_vel=0.18375759, airspeed=25.151556, gps_hdop=1.21, roll=47.24, pitch=-1.56, yaw=3.60, ch3percent=60.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1608, waypoints=[], home_location={lat=0.0, lon=0.0}}
