[2025-04-10 06:51:25] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:25, systemid=3, lat=35.0724056, lon=129.0913732, alt=27.162, dist_traveled=null, wp_dist=474, dist_to_home=1.3462230478799336E7, vertical_speed=0.48322156, ground_speed=25.201523, wind_vel=0.1097188, airspeed=24.78562, gps_hdop=1.21, roll=-11.46, pitch=-1.11, yaw=-154.13, ch3percent=69.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1690}
[2025-04-10 06:51:26] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:26, systemid=3, lat=35.0721999, lon=129.0912576, alt=27.677, dist_traveled=null, wp_dist=449, dist_to_home=1.3462230621500654E7, vertical_speed=0.39642644, ground_speed=25.246979, wind_vel=0.09982847, airspeed=24.83727, gps_hdop=1.21, roll=-8.60, pitch=-1.42, yaw=-157.61, ch3percent=68.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1683, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:40] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:40, systemid=3, lat=35.0691813, lon=129.0899997, alt=29.897, dist_traveled=null, wp_dist=94, dist_to_home=1.3462268864735054E7, vertical_speed=0.023886694, ground_speed=25.376358, wind_vel=0.15518084, airspeed=24.959976, gps_hdop=1.21, roll=-0.14, pitch=-2.20, yaw=-160.79, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:41] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:41, systemid=3, lat=35.0689653, lon=129.0899076, alt=29.922, dist_traveled=null, wp_dist=68, dist_to_home=1.3462271428216614E7, vertical_speed=0.050377328, ground_speed=25.425692, wind_vel=0.16166534, airspeed=24.949598, gps_hdop=1.21, roll=-0.16, pitch=-2.30, yaw=-160.87, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:42] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:42, systemid=3, lat=35.0686413, lon=129.0897699, alt=30.006, dist_traveled=null, wp_dist=282, dist_to_home=1.3462275310354427E7, vertical_speed=0.03457972, ground_speed=25.408306, wind_vel=0.17266288, airspeed=24.981337, gps_hdop=1.21, roll=-0.17, pitch=-2.31, yaw=-160.92, ch3percent=65.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1653, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:43] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:43, systemid=3, lat=35.0684305, lon=129.089661, alt=30.034, dist_traveled=null, wp_dist=272, dist_to_home=1.3462276243552228E7, vertical_speed=-0.20505065, ground_speed=25.508865, wind_vel=0.17456417, airspeed=24.953085, gps_hdop=1.21, roll=45.19, pitch=-0.76, yaw=-155.73, ch3percent=67.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1679, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:44] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:44, systemid=3, lat=35.0682466, lon=129.0894934, alt=30.541, dist_traveled=null, wp_dist=236, dist_to_home=1.3462271070629971E7, vertical_speed=-0.19511634, ground_speed=25.488773, wind_vel=0.18164529, airspeed=25.050833, gps_hdop=1.21, roll=26.08, pitch=-2.24, yaw=-140.84, ch3percent=64.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1644, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:45] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:45, systemid=3, lat=35.0680843, lon=129.089296, alt=30.425, dist_traveled=null, wp_dist=211, dist_to_home=1.3462262424168462E7, vertical_speed=-0.13890766, ground_speed=25.467333, wind_vel=0.18447764, airspeed=25.024948, gps_hdop=1.21, roll=19.19, pitch=-2.38, yaw=-132.81, ch3percent=63.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1639, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:46] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:46, systemid=3, lat=35.0679423, lon=129.0890777, alt=30.231, dist_traveled=null, wp_dist=186, dist_to_home=1.3462251099280158E7, vertical_speed=-0.21692917, ground_speed=25.386219, wind_vel=0.18562052, airspeed=24.933672, gps_hdop=1.21, roll=12.72, pitch=-2.84, yaw=-126.75, ch3percent=64.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1642, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:47] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:47, systemid=3, lat=35.0678767, lon=129.0889633, alt=30.11, dist_traveled=null, wp_dist=173, dist_to_home=1.3462244749868497E7, vertical_speed=-0.1954516, ground_speed=25.424973, wind_vel=0.18601039, airspeed=24.936144, gps_hdop=1.21, roll=7.66, pitch=-2.81, yaw=-124.05, ch3percent=64.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1642, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:48] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:48, systemid=3, lat=35.0677521, lon=129.0887284, alt=29.905, dist_traveled=null, wp_dist=147, dist_to_home=1.3462231237499082E7, vertical_speed=-0.13611461, ground_speed=25.484617, wind_vel=0.1860028, airspeed=24.978346, gps_hdop=1.21, roll=2.69, pitch=-2.72, yaw=-121.97, ch3percent=65.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1650, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:49] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:49, systemid=3, lat=35.0675718, lon=129.0883699, alt=29.76, dist_traveled=null, wp_dist=109, dist_to_home=1.346221015113864E7, vertical_speed=-0.05371742, ground_speed=25.494234, wind_vel=0.18607004, airspeed=24.967005, gps_hdop=1.21, roll=-1.33, pitch=-2.61, yaw=-121.58, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:50] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:50, systemid=3, lat=35.0674506, lon=129.088132, alt=29.735, dist_traveled=null, wp_dist=84, dist_to_home=1.3462196231155714E7, vertical_speed=0.020531364, ground_speed=25.518787, wind_vel=0.18676205, airspeed=24.990288, gps_hdop=1.21, roll=-2.53, pitch=-2.33, yaw=-122.10, ch3percent=66.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1666, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:51] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:51, systemid=3, lat=35.0673895, lon=129.0880146, alt=29.747, dist_traveled=null, wp_dist=71, dist_to_home=1.346218942246085E7, vertical_speed=0.007691217, ground_speed=25.471838, wind_vel=0.1880859, airspeed=24.99403, gps_hdop=1.21, roll=-2.90, pitch=-2.26, yaw=-122.81, ch3percent=66.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1662, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:52] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:52, systemid=3, lat=35.0671995, lon=129.0876641, alt=29.806, dist_traveled=null, wp_dist=33, dist_to_home=1.3462169451468604E7, vertical_speed=0.0699339, ground_speed=25.505037, wind_vel=0.19035666, airspeed=24.996624, gps_hdop=1.21, roll=-2.88, pitch=-2.18, yaw=-123.91, ch3percent=66.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1662, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:53] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:53, systemid=3, lat=35.0670692, lon=129.0874348, alt=29.867, dist_traveled=null, wp_dist=7, dist_to_home=1.3462156668301607E7, vertical_speed=0.0052551846, ground_speed=25.45971, wind_vel=0.19423492, airspeed=25.045698, gps_hdop=1.21, roll=-2.28, pitch=-2.28, yaw=-124.94, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:54] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:54, systemid=3, lat=35.0669359, lon=129.0872068, alt=29.901, dist_traveled=null, wp_dist=112, dist_to_home=1.346214413329726E7, vertical_speed=0.05468324, ground_speed=25.452782, wind_vel=0.19749168, airspeed=25.027063, gps_hdop=1.21, roll=15.72, pitch=-2.82, yaw=-122.75, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:55] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:55, systemid=3, lat=35.0668488, lon=129.0869505, alt=30.43, dist_traveled=null, wp_dist=93, dist_to_home=1.3462127091662752E7, vertical_speed=2.2461517, ground_speed=25.654627, wind_vel=0.20141366, airspeed=25.30829, gps_hdop=1.21, roll=35.32, pitch=4.30, yaw=-101.16, ch3percent=69.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1693, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:56] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:56, systemid=3, lat=35.0668305, lon=129.0866708, alt=30.995, dist_traveled=null, wp_dist=70, dist_to_home=1.3462104884798666E7, vertical_speed=-0.1522426, ground_speed=25.559557, wind_vel=0.20381984, airspeed=25.139648, gps_hdop=1.21, roll=42.27, pitch=-0.67, yaw=-89.42, ch3percent=69.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1691, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:57] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:57, systemid=3, lat=35.0668814, lon=129.0864013, alt=30.995, dist_traveled=null, wp_dist=960, dist_to_home=1.3462080265030764E7, vertical_speed=0.2971871, ground_speed=25.893198, wind_vel=0.20566379, airspeed=25.369772, gps_hdop=1.21, roll=59.82, pitch=2.65, yaw=-61.59, ch3percent=98.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1983, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:58] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:58, systemid=3, lat=35.0670465, lon=129.0862058, alt=32.438, dist_traveled=null, wp_dist=954, dist_to_home=1.3462056378069684E7, vertical_speed=0.96601886, ground_speed=25.76784, wind_vel=0.20198783, airspeed=25.590237, gps_hdop=1.21, roll=52.70, pitch=1.91, yaw=-35.29, ch3percent=67.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1674, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:59] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:59, systemid=3, lat=35.0672577, lon=129.0860956, alt=32.586, dist_traveled=null, wp_dist=940, dist_to_home=1.3462037358194951E7, vertical_speed=-0.24290742, ground_speed=25.589886, wind_vel=0.19522518, airspeed=25.287994, gps_hdop=1.21, roll=51.68, pitch=-0.31, yaw=-14.25, ch3percent=64.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1641, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:52:00] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:52:00, systemid=3, lat=35.0674868, lon=129.0860888, alt=32.103, dist_traveled=null, wp_dist=920, dist_to_home=1.3462026024157122E7, vertical_speed=-0.64300567, ground_speed=25.430834, wind_vel=0.18601234, airspeed=25.085077, gps_hdop=1.21, roll=46.71, pitch=-1.62, yaw=6.35, ch3percent=59.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1595, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:52:01] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:52:01, systemid=3, lat=35.0677038, lon=129.086172, alt=31.196, dist_traveled=null, wp_dist=896, dist_to_home=1.3462022681473067E7, vertical_speed=-1.0337454, ground_speed=25.262758, wind_vel=0.17406294, airspeed=24.877447, gps_hdop=1.21, roll=38.10, pitch=-3.08, yaw=22.81, ch3percent=57.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1572, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:52:02] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:52:02, systemid=3, lat=35.0678967, lon=129.0863172, alt=30.079, dist_traveled=null, wp_dist=871, dist_to_home=1.3462025585180072E7, vertical_speed=-1.0773578, ground_speed=25.197584, wind_vel=0.16039911, airspeed=24.740746, gps_hdop=1.21, roll=25.39, pitch=-3.95, yaw=34.76, ch3percent=58.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1583, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:52:03] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:52:03, systemid=3, lat=35.0680685, lon=129.0864972, alt=29.069, dist_traveled=null, wp_dist=846, dist_to_home=1.3462032350969866E7, vertical_speed=-0.784132, ground_speed=25.25324, wind_vel=0.14538386, airspeed=24.791914, gps_hdop=1.21, roll=11.67, pitch=-3.87, yaw=41.90, ch3percent=61.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1614, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:52:04] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:52:04, systemid=3, lat=35.0682294, lon=129.0866916, alt=28.47, dist_traveled=null, wp_dist=821, dist_to_home=1.3462040816780053E7, vertical_speed=-0.35545018, ground_speed=25.316603, wind_vel=0.12845363, airspeed=24.807695, gps_hdop=1.21, roll=1.25, pitch=-3.11, yaw=44.69, ch3percent=64.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1648, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:52:05] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:52:05, systemid=3, lat=35.0683908, lon=129.0868895, alt=28.271, dist_traveled=null, wp_dist=796, dist_to_home=1.3462049547590587E7, vertical_speed=0.01825277, ground_speed=25.437986, wind_vel=0.11435137, airspeed=24.9107, gps_hdop=1.21, roll=-4.82, pitch=-2.20, yaw=44.31, ch3percent=67.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1671, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:52:06] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:52:06, systemid=3, lat=35.068556, lon=129.0870812, alt=28.368, dist_traveled=null, wp_dist=771, dist_to_home=1.34620575882555E7, vertical_speed=0.16547738, ground_speed=25.43963, wind_vel=0.098039955, airspeed=24.963762, gps_hdop=1.21, roll=-7.10, pitch=-1.81, yaw=42.43, ch3percent=68.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1680, waypoints=[], home_location={lat=0.0, lon=0.0}}
