[2025-04-10 02:55:24] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:24, systemid=3, lat=35.0685152, lon=129.0897116, alt=29.853, dist_traveled=null, wp_dist=269, dist_to_home=1.3462276432990892E7, vertical_speed=-0.10603938, ground_speed=25.524956, wind_vel=0.0, airspeed=24.964106, gps_hdop=1.21, roll=38.76, pitch=-2.93, yaw=-158.25, ch3percent=72.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1722}
[2025-04-10 02:55:25] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:25, systemid=3, lat=35.0683202, lon=129.0895616, alt=30.419, dist_traveled=null, wp_dist=245, dist_to_home=1.3462273233596994E7, vertical_speed=0.37718487, ground_speed=25.711788, wind_vel=0.2901665, airspeed=25.150724, gps_hdop=1.21, roll=23.24, pitch=-1.74, yaw=-144.94, ch3percent=64.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1646, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:49] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:49, systemid=3, lat=35.068873, lon=129.0874033, alt=28.885, dist_traveled=null, wp_dist=725, dist_to_home=1.3462069244014252E7, vertical_speed=0.29211804, ground_speed=25.443691, wind_vel=0.076589875, airspeed=24.963356, gps_hdop=1.21, roll=-6.75, pitch=-1.79, yaw=38.04, ch3percent=66.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1669, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:50] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:50, systemid=3, lat=35.0690552, lon=129.0875711, alt=29.181, dist_traveled=null, wp_dist=700, dist_to_home=1.3462074513835922E7, vertical_speed=0.23835665, ground_speed=25.391804, wind_vel=0.06248602, airspeed=24.914629, gps_hdop=1.21, roll=-5.87, pitch=-1.92, yaw=35.88, ch3percent=66.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1663, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:51] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:51, systemid=3, lat=35.0692419, lon=129.0877317, alt=29.408, dist_traveled=null, wp_dist=674, dist_to_home=1.3462078978128813E7, vertical_speed=0.18188378, ground_speed=25.391481, wind_vel=0.049599126, airspeed=24.896074, gps_hdop=1.21, roll=-4.16, pitch=-2.14, yaw=34.13, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:52] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:52, systemid=3, lat=35.0694316, lon=129.0878866, alt=29.594, dist_traveled=null, wp_dist=649, dist_to_home=1.3462082831139551E7, vertical_speed=0.09924833, ground_speed=25.393164, wind_vel=0.037555072, airspeed=24.896685, gps_hdop=1.21, roll=-2.80, pitch=-2.35, yaw=32.93, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:53] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:53, systemid=3, lat=35.0696231, lon=129.0880381, alt=29.719, dist_traveled=null, wp_dist=624, dist_to_home=1.346208631898049E7, vertical_speed=0.064833194, ground_speed=25.405373, wind_vel=0.025998214, airspeed=24.839464, gps_hdop=1.21, roll=-1.53, pitch=-2.44, yaw=32.11, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:54] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:54, systemid=3, lat=35.069814, lon=129.0881864, alt=29.801, dist_traveled=null, wp_dist=598, dist_to_home=1.3462089571016926E7, vertical_speed=0.035233393, ground_speed=25.352377, wind_vel=0.01304458, airspeed=24.89296, gps_hdop=1.21, roll=-0.55, pitch=-2.39, yaw=31.76, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:55] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:55, systemid=3, lat=35.0700058, lon=129.0883346, alt=29.832, dist_traveled=null, wp_dist=573, dist_to_home=1.3462092772355359E7, vertical_speed=0.0088587925, ground_speed=25.360512, wind_vel=0.009088966, airspeed=24.871187, gps_hdop=1.21, roll=0.04, pitch=-2.47, yaw=31.64, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:56] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:56, systemid=3, lat=35.0701986, lon=129.0884839, alt=29.902, dist_traveled=null, wp_dist=548, dist_to_home=1.3462096017251613E7, vertical_speed=0.037026938, ground_speed=25.394356, wind_vel=0.017055048, airspeed=24.917442, gps_hdop=1.21, roll=0.34, pitch=-2.46, yaw=31.81, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:57] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:57, systemid=3, lat=35.0703918, lon=129.0886345, alt=29.963, dist_traveled=null, wp_dist=522, dist_to_home=1.3462099350414926E7, vertical_speed=0.05256232, ground_speed=25.461155, wind_vel=0.0250444, airspeed=24.901974, gps_hdop=1.21, roll=0.29, pitch=-2.50, yaw=31.89, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:58] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:58, systemid=3, lat=35.0705846, lon=129.0887855, alt=29.997, dist_traveled=null, wp_dist=497, dist_to_home=1.3462102735249018E7, vertical_speed=-0.001478023, ground_speed=25.503689, wind_vel=0.03352153, airspeed=24.902056, gps_hdop=1.21, roll=0.55, pitch=-2.62, yaw=31.99, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:59] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:59, systemid=3, lat=35.0707766, lon=129.0889369, alt=30.013, dist_traveled=null, wp_dist=471, dist_to_home=1.3462106190566475E7, vertical_speed=0.024370128, ground_speed=25.480135, wind_vel=0.04349238, airspeed=24.915382, gps_hdop=1.21, roll=0.43, pitch=-2.57, yaw=32.19, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:56:00] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:56:00, systemid=3, lat=35.0709672, lon=129.0890883, alt=29.978, dist_traveled=null, wp_dist=446, dist_to_home=1.3462109711600821E7, vertical_speed=-0.053374093, ground_speed=25.4559, wind_vel=0.05400755, airspeed=24.949705, gps_hdop=1.21, roll=0.45, pitch=-2.65, yaw=32.48, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:56:01] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:56:01, systemid=3, lat=35.0711581, lon=129.0892411, alt=29.972, dist_traveled=null, wp_dist=420, dist_to_home=1.3462113333849786E7, vertical_speed=0.02655459, ground_speed=25.458952, wind_vel=0.06444707, airspeed=24.98118, gps_hdop=1.21, roll=0.10, pitch=-2.48, yaw=32.58, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:56:02] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:56:02, systemid=3, lat=35.0713493, lon=129.0893944, alt=29.983, dist_traveled=null, wp_dist=395, dist_to_home=1.3462116983093578E7, vertical_speed=-0.022297267, ground_speed=25.457615, wind_vel=0.074622996, airspeed=25.000935, gps_hdop=1.21, roll=-0.22, pitch=-2.64, yaw=32.64, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:56:03] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:56:03, systemid=3, lat=35.0715406, lon=129.0895479, alt=29.979, dist_traveled=null, wp_dist=370, dist_to_home=1.3462120643998701E7, vertical_speed=0.02076289, ground_speed=25.468966, wind_vel=0.0842737, airspeed=25.017767, gps_hdop=1.21, roll=-0.01, pitch=-2.48, yaw=32.71, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:56:04] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:56:04, systemid=3, lat=35.071732, lon=129.0897014, alt=29.984, dist_traveled=null, wp_dist=344, dist_to_home=1.346212430007208E7, vertical_speed=0.020737352, ground_speed=25.482838, wind_vel=0.092888035, airspeed=24.988657, gps_hdop=1.21, roll=-0.36, pitch=-2.51, yaw=32.59, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:56:05] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:56:05, systemid=3, lat=35.071924, lon=129.0898552, alt=30.011, dist_traveled=null, wp_dist=319, dist_to_home=1.3462127952535765E7, vertical_speed=0.038703702, ground_speed=25.493828, wind_vel=0.1005032, airspeed=25.009214, gps_hdop=1.21, roll=-0.11, pitch=-2.49, yaw=32.57, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lat=0.0, lon=0.0}}
