[2025-04-09 18:23:28] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:28, systemid=3, lat=null, lon=null, alt=null, dist_traveled=null, wp_dist=null, dist_to_home=0.0, vertical_speed=0.04857224, ground_speed=24.978832, wind_vel=0.0, airspeed=24.91136, gps_hdop=0.0, roll=0.65, pitch=-2.21, yaw=32.64, ch3percent=null, ch9out=0.0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0.0, battery_current=0.0, waypoints_count=0}
[2025-04-09 18:23:29] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:29, systemid=3, lat=35.0706748, lon=129.088855, alt=29.95, dist_traveled=null, wp_dist=484, dist_to_home=1.3462104224417333E7, vertical_speed=0.053866286, ground_speed=25.013739, wind_vel=0.01568925, airspeed=24.928976, gps_hdop=1.21, roll=0.40, pitch=-2.22, yaw=32.88, ch3percent=63.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1635}
[2025-04-09 18:23:40] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:40, systemid=3, lat=35.0727451, lon=129.0905105, alt=30.017, dist_traveled=null, wp_dist=209, dist_to_home=1.3462143370247005E7, vertical_speed=0.024159621, ground_speed=25.046988, wind_vel=0.015649298, airspeed=25.02731, gps_hdop=1.21, roll=0.12, pitch=-2.37, yaw=33.36, ch3percent=63.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1634}
[2025-04-09 18:23:41] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:41, systemid=3, lat=35.0729338, lon=129.0906617, alt=30.038, dist_traveled=null, wp_dist=184, dist_to_home=1.3462146962847915E7, vertical_speed=0.016937938, ground_speed=25.06163, wind_vel=0.015684504, airspeed=24.94101, gps_hdop=1.21, roll=0.20, pitch=-2.33, yaw=33.41, ch3percent=63.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1634}
[2025-04-09 18:23:42] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:42, systemid=3, lat=35.0731223, lon=129.0908129, alt=30.026, dist_traveled=null, wp_dist=159, dist_to_home=1.3462150564731253E7, vertical_speed=0.029582687, ground_speed=25.079212, wind_vel=0.016255882, airspeed=24.98201, gps_hdop=1.21, roll=0.03, pitch=-2.28, yaw=33.48, ch3percent=63.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1635}
[2025-04-09 18:23:43] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:43, systemid=3, lat=35.0733099, lon=129.0909633, alt=30.022, dist_traveled=null, wp_dist=134, dist_to_home=1.3462154142854126E7, vertical_speed=-0.015160663, ground_speed=25.039034, wind_vel=0.01619317, airspeed=24.970255, gps_hdop=1.21, roll=0.04, pitch=-2.31, yaw=33.59, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:23:44] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:44, systemid=3, lat=35.0734973, lon=129.0911139, alt=30.024, dist_traveled=null, wp_dist=109, dist_to_home=1.3462157746753084E7, vertical_speed=-0.008446114, ground_speed=25.017511, wind_vel=0.016106337, airspeed=25.014032, gps_hdop=1.21, roll=0.01, pitch=-2.26, yaw=33.47, ch3percent=63.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1634}
[2025-04-09 18:23:45] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:45, systemid=3, lat=35.0736854, lon=129.0912649, alt=30.009, dist_traveled=null, wp_dist=84, dist_to_home=1.3462161350586617E7, vertical_speed=0.019447906, ground_speed=25.008394, wind_vel=0.015889106, airspeed=24.993635, gps_hdop=1.21, roll=0.03, pitch=-2.29, yaw=33.61, ch3percent=63.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1632}
[2025-04-09 18:23:46] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:46, systemid=3, lat=35.0738734, lon=129.0914158, alt=30.013, dist_traveled=null, wp_dist=59, dist_to_home=1.3462164950753722E7, vertical_speed=0.029849604, ground_speed=25.020573, wind_vel=0.01593617, airspeed=25.001314, gps_hdop=1.21, roll=-0.35, pitch=-2.17, yaw=33.44, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:23:47] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:47, systemid=3, lat=35.0740602, lon=129.0915691, alt=30.013, dist_traveled=null, wp_dist=652, dist_to_home=1.3462168805145388E7, vertical_speed=-0.35618284, ground_speed=25.021585, wind_vel=0.01425193, airspeed=24.988682, gps_hdop=1.21, roll=60.74, pitch=-3.90, yaw=39.15, ch3percent=76.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1766}
[2025-04-09 18:23:48] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:48, systemid=3, lat=35.0741389, lon=129.0918065, alt=30.796, dist_traveled=null, wp_dist=667, dist_to_home=1.346218467909747E7, vertical_speed=1.9264225, ground_speed=23.307014, wind_vel=0.01619339, airspeed=24.067417, gps_hdop=1.21, roll=52.75, pitch=4.30, yaw=87.29, ch3percent=26.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1260}
[2025-04-09 18:23:49] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:49, systemid=3, lat=35.0741169, lon=129.0920545, alt=30.23, dist_traveled=null, wp_dist=672, dist_to_home=1.3462206163843445E7, vertical_speed=-2.0788279, ground_speed=22.574787, wind_vel=0.0077712303, airspeed=22.663157, gps_hdop=1.21, roll=54.05, pitch=-4.26, yaw=104.20, ch3percent=43.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1434}
[2025-04-09 18:23:50] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:50, systemid=3, lat=35.0740154, lon=129.0922678, alt=27.895, dist_traveled=null, wp_dist=669, dist_to_home=1.3462228526845815E7, vertical_speed=-2.1434982, ground_speed=23.148005, wind_vel=0.008881623, airspeed=22.995865, gps_hdop=1.21, roll=54.77, pitch=-4.00, yaw=134.41, ch3percent=60.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1602}
[2025-04-09 18:23:51] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:51, systemid=3, lat=35.07383, lon=129.092387, alt=26.231, dist_traveled=null, wp_dist=654, dist_to_home=1.346224707703162E7, vertical_speed=-1.1128932, ground_speed=24.080597, wind_vel=0.013163836, airspeed=23.856386, gps_hdop=1.21, roll=54.12, pitch=-1.62, yaw=166.54, ch3percent=69.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1690}
[2025-04-09 18:23:52] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:52, systemid=3, lat=35.0736135, lon=129.0923787, alt=25.392, dist_traveled=null, wp_dist=632, dist_to_home=1.3462256576539129E7, vertical_speed=-0.69610566, ground_speed=24.655907, wind_vel=0.012723504, airspeed=24.561245, gps_hdop=1.21, roll=47.85, pitch=-1.46, yaw=-168.43, ch3percent=65.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1653}
[2025-04-09 18:23:53] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:53, systemid=3, lat=35.0734095, lon=129.0922729, alt=24.623, dist_traveled=null, wp_dist=607, dist_to_home=1.346225744816065E7, vertical_speed=-0.7999267, ground_speed=24.900686, wind_vel=0.010174144, airspeed=24.90385, gps_hdop=1.21, roll=33.96, pitch=-2.82, yaw=-151.96, ch3percent=61.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1611}
[2025-04-09 18:23:54] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:54, systemid=3, lat=35.0732266, lon=129.0921137, alt=23.842, dist_traveled=null, wp_dist=583, dist_to_home=1.3462252923787966E7, vertical_speed=-0.5648322, ground_speed=25.097837, wind_vel=0.008590739, airspeed=25.043694, gps_hdop=1.21, roll=14.33, pitch=-3.34, yaw=-142.50, ch3percent=63.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1632}
[2025-04-09 18:23:55] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:55, systemid=3, lat=35.0730533, lon=129.0919338, alt=23.534, dist_traveled=null, wp_dist=558, dist_to_home=1.3462246240790972E7, vertical_speed=0.085930005, ground_speed=25.293589, wind_vel=0.009134672, airspeed=25.191679, gps_hdop=1.21, roll=-2.12, pitch=-2.22, yaw=-139.64, ch3percent=67.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1672}
[2025-04-09 18:23:56] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:56, systemid=3, lat=35.0728777, lon=129.091756, alt=23.849, dist_traveled=null, wp_dist=534, dist_to_home=1.34622398390161E7, vertical_speed=0.54759383, ground_speed=25.403845, wind_vel=0.010418689, airspeed=25.294607, gps_hdop=1.21, roll=-10.07, pitch=-1.12, yaw=-141.39, ch3percent=69.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1697}
[2025-04-09 18:23:57] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:57, systemid=3, lat=35.0726931, lon=129.0915913, alt=24.559, dist_traveled=null, wp_dist=510, dist_to_home=1.3462234940684782E7, vertical_speed=0.79493415, ground_speed=25.432919, wind_vel=0.013099284, airspeed=25.31826, gps_hdop=1.21, roll=-12.75, pitch=-0.51, yaw=-145.18, ch3percent=70.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1701}
[2025-04-09 18:23:58] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:58, systemid=3, lat=35.0725003, lon=129.0914453, alt=25.383, dist_traveled=null, wp_dist=485, dist_to_home=1.346223196995619E7, vertical_speed=0.7739376, ground_speed=25.346518, wind_vel=0.012503582, airspeed=25.297342, gps_hdop=1.21, roll=-12.73, pitch=-0.50, yaw=-149.64, ch3percent=68.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1689}
[2025-04-09 18:23:59] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:59, systemid=3, lat=35.0722992, lon=129.0913175, alt=26.149, dist_traveled=null, wp_dist=460, dist_to_home=1.3462230890312582E7, vertical_speed=0.72816277, ground_speed=25.238062, wind_vel=0.011745441, airspeed=25.218859, gps_hdop=1.21, roll=-10.90, pitch=-0.59, yaw=-153.75, ch3percent=67.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1677}
[2025-04-09 18:24:00] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:24:00, systemid=3, lat=35.0720921, lon=129.0912055, alt=26.828, dist_traveled=null, wp_dist=435, dist_to_home=1.3462231395671561E7, vertical_speed=0.61663496, ground_speed=25.146822, wind_vel=0.011831714, airspeed=25.163868, gps_hdop=1.21, roll=-8.39, pitch=-0.94, yaw=-157.06, ch3percent=66.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1667}
[2025-04-09 18:24:01] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:24:01, systemid=3, lat=35.071881, lon=129.091106, alt=27.379, dist_traveled=null, wp_dist=410, dist_to_home=1.346223311984515E7, vertical_speed=0.4801879, ground_speed=25.091932, wind_vel=0.012034724, airspeed=25.091173, gps_hdop=1.21, roll=-5.97, pitch=-1.21, yaw=-159.45, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1659}
[2025-04-09 18:24:02] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:24:02, systemid=3, lat=35.0716677, lon=129.0910154, alt=27.848, dist_traveled=null, wp_dist=385, dist_to_home=1.3462235681311794E7, vertical_speed=0.4367107, ground_speed=25.044504, wind_vel=0.012315963, airspeed=25.057354, gps_hdop=1.21, roll=-3.25, pitch=-1.37, yaw=-161.13, ch3percent=65.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1652}
[2025-04-09 18:24:03] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:24:03, systemid=3, lat=35.0714532, lon=129.0909299, alt=28.238, dist_traveled=null, wp_dist=360, dist_to_home=1.3462238719682546E7, vertical_speed=0.34392768, ground_speed=25.023539, wind_vel=0.01307213, airspeed=24.984552, gps_hdop=1.21, roll=-1.33, pitch=-1.58, yaw=-162.15, ch3percent=64.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1647}
[2025-04-09 18:24:04] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:24:04, systemid=3, lat=35.0712385, lon=129.090847, alt=28.561, dist_traveled=null, wp_dist=335, dist_to_home=1.346224198176754E7, vertical_speed=0.27104077, ground_speed=25.003408, wind_vel=0.014057915, airspeed=24.909647, gps_hdop=1.21, roll=0.12, pitch=-1.71, yaw=-162.40, ch3percent=64.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1646}
[2025-04-09 18:24:05] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:24:05, systemid=3, lat=35.0710248, lon=129.0907645, alt=28.839, dist_traveled=null, wp_dist=310, dist_to_home=1.3462245229707211E7, vertical_speed=0.23100826, ground_speed=24.984539, wind_vel=0.0136686, airspeed=24.910376, gps_hdop=1.21, roll=0.61, pitch=-1.75, yaw=-162.43, ch3percent=64.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1645}
[2025-04-09 18:24:06] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:24:06, systemid=3, lat=35.0708118, lon=129.0906813, alt=29.05, dist_traveled=null, wp_dist=285, dist_to_home=1.3462248386902122E7, vertical_speed=0.17906268, ground_speed=24.948835, wind_vel=0.012544383, airspeed=24.918833, gps_hdop=1.21, roll=1.01, pitch=-1.78, yaw=-162.08, ch3percent=64.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1640}
[2025-04-09 18:24:07] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:24:07, systemid=3, lat=35.070598, lon=129.0905961, alt=29.221, dist_traveled=null, wp_dist=260, dist_to_home=1.3462251416698137E7, vertical_speed=0.103324994, ground_speed=24.948914, wind_vel=0.011998826, airspeed=24.972754, gps_hdop=1.21, roll=1.00, pitch=-2.01, yaw=-161.71, ch3percent=64.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1640}
[2025-04-09 18:24:08] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:24:08, systemid=3, lat=35.0703856, lon=129.0905098, alt=29.348, dist_traveled=null, wp_dist=235, dist_to_home=1.3462254289838238E7, vertical_speed=0.13737386, ground_speed=24.945282, wind_vel=0.010972627, airspeed=24.947084, gps_hdop=1.21, roll=0.80, pitch=-1.92, yaw=-161.50, ch3percent=64.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1641}
[2025-04-09 18:24:09] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:24:09, systemid=3, lat=35.070173, lon=129.090422, alt=29.467, dist_traveled=null, wp_dist=210, dist_to_home=1.3462257048588924E7, vertical_speed=0.09052964, ground_speed=24.960005, wind_vel=0.010620304, airspeed=24.947388, gps_hdop=1.21, roll=0.80, pitch=-2.08, yaw=-161.17, ch3percent=64.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1642}
