[2025-04-10 05:38:55] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:38:55, systemid=3, lat=35.0735392, lon=129.0923347, alt=26.945, dist_traveled=null, wp_dist=622, dist_to_home=1.346225644328562E7, vertical_speed=-0.6108834, ground_speed=24.216747, wind_vel=0.0, airspeed=23.737926, gps_hdop=1.21, roll=40.15, pitch=-1.64, yaw=-158.49, ch3percent=59.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1599}
[2025-04-10 05:38:56] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:38:56, systemid=3, lat=35.0732571, lon=129.0921317, alt=25.852, dist_traveled=null, wp_dist=586, dist_to_home=1.3462252973413214E7, vertical_speed=-0.64225817, ground_speed=24.48276, wind_vel=0.16378291, airspeed=23.949543, gps_hdop=1.21, roll=17.31, pitch=-3.16, yaw=-144.43, ch3percent=60.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1606, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:07] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:07, systemid=3, lat=35.0710651, lon=129.0907831, alt=29.473, dist_traveled=null, wp_dist=315, dist_to_home=1.3462244868064832E7, vertical_speed=0.13832696, ground_speed=25.335516, wind_vel=0.08572603, airspeed=24.79714, gps_hdop=1.21, roll=0.47, pitch=-2.43, yaw=-163.09, ch3percent=65.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1654, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:08] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:08, systemid=3, lat=35.0708502, lon=129.0906995, alt=29.588, dist_traveled=null, wp_dist=289, dist_to_home=1.3462248081657376E7, vertical_speed=0.10793851, ground_speed=25.298056, wind_vel=0.092056766, airspeed=24.774109, gps_hdop=1.21, roll=0.94, pitch=-2.34, yaw=-162.83, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:09] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:09, systemid=3, lat=35.0706349, lon=129.0906136, alt=29.688, dist_traveled=null, wp_dist=264, dist_to_home=1.3462251124296881E7, vertical_speed=0.06852945, ground_speed=25.305563, wind_vel=0.09917147, airspeed=24.802727, gps_hdop=1.21, roll=0.90, pitch=-2.36, yaw=-162.44, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:10] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:10, systemid=3, lat=35.0704193, lon=129.0905257, alt=29.783, dist_traveled=null, wp_dist=239, dist_to_home=1.34622540160168E7, vertical_speed=0.078926325, ground_speed=25.33757, wind_vel=0.10607005, airspeed=24.786114, gps_hdop=1.21, roll=0.79, pitch=-2.43, yaw=-162.11, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:11] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:11, systemid=3, lat=35.0702038, lon=129.0904363, alt=29.832, dist_traveled=null, wp_dist=214, dist_to_home=1.3462256779234376E7, vertical_speed=0.080111444, ground_speed=25.39276, wind_vel=0.11254213, airspeed=24.838764, gps_hdop=1.21, roll=0.57, pitch=-2.42, yaw=-161.83, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:12] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:12, systemid=3, lat=35.0699879, lon=129.0903455, alt=29.88, dist_traveled=null, wp_dist=188, dist_to_home=1.3462259445710996E7, vertical_speed=0.070557, ground_speed=25.422592, wind_vel=0.119595006, airspeed=24.90362, gps_hdop=1.21, roll=0.53, pitch=-2.42, yaw=-161.51, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:13] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:13, systemid=3, lat=35.0697718, lon=129.0902537, alt=29.937, dist_traveled=null, wp_dist=163, dist_to_home=1.3462262039024813E7, vertical_speed=-0.0062501063, ground_speed=25.451519, wind_vel=0.12633651, airspeed=24.90461, gps_hdop=1.21, roll=0.14, pitch=-2.68, yaw=-161.41, ch3percent=65.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1654, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:14] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:14, systemid=3, lat=35.0695562, lon=129.0901615, alt=29.963, dist_traveled=null, wp_dist=137, dist_to_home=1.3462264575732214E7, vertical_speed=0.032081578, ground_speed=25.458315, wind_vel=0.1325507, airspeed=24.91158, gps_hdop=1.21, roll=0.11, pitch=-2.56, yaw=-161.31, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:15] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:15, systemid=3, lat=35.0693406, lon=129.0900691, alt=29.971, dist_traveled=null, wp_dist=112, dist_to_home=1.3462267095842399E7, vertical_speed=0.01528026, ground_speed=25.475407, wind_vel=0.13945006, airspeed=24.92969, gps_hdop=1.21, roll=-0.17, pitch=-2.56, yaw=-161.32, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:16] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:16, systemid=3, lat=35.0691254, lon=129.0899767, alt=29.981, dist_traveled=null, wp_dist=86, dist_to_home=1.346226959703611E7, vertical_speed=0.012341684, ground_speed=25.461197, wind_vel=0.146583, airspeed=24.932732, gps_hdop=1.21, roll=-0.43, pitch=-2.54, yaw=-161.33, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:17] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:17, systemid=3, lat=35.06891, lon=129.0898847, alt=29.986, dist_traveled=null, wp_dist=61, dist_to_home=1.3462272140519274E7, vertical_speed=0.04103747, ground_speed=25.46628, wind_vel=0.15365677, airspeed=24.950397, gps_hdop=1.21, roll=-0.34, pitch=-2.48, yaw=-161.51, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:18] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:18, systemid=3, lat=35.068694, lon=129.0897928, alt=29.979, dist_traveled=null, wp_dist=36, dist_to_home=1.346227472036395E7, vertical_speed=-0.02097227, ground_speed=25.473534, wind_vel=0.16023162, airspeed=24.92513, gps_hdop=1.21, roll=-0.07, pitch=-2.61, yaw=-161.50, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:19] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:19, systemid=3, lat=35.0684803, lon=129.0896943, alt=29.948, dist_traveled=null, wp_dist=265, dist_to_home=1.3462276647645138E7, vertical_speed=-0.14681529, ground_speed=25.597784, wind_vel=0.16562814, airspeed=25.017303, gps_hdop=1.21, roll=45.04, pitch=-0.54, yaw=-155.86, ch3percent=79.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1794, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:20] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:20, systemid=3, lat=35.0682909, lon=129.0895345, alt=30.494, dist_traveled=null, wp_dist=241, dist_to_home=1.3462272376672937E7, vertical_speed=-0.12635133, ground_speed=25.631311, wind_vel=0.1709301, airspeed=25.091969, gps_hdop=1.21, roll=24.07, pitch=-2.58, yaw=-143.47, ch3percent=64.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1641, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:21] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:21, systemid=3, lat=35.0681238, lon=129.0893432, alt=30.34, dist_traveled=null, wp_dist=216, dist_to_home=1.346226445904485E7, vertical_speed=-0.06978579, ground_speed=25.586744, wind_vel=0.17393112, airspeed=25.049284, gps_hdop=1.21, roll=20.34, pitch=-2.11, yaw=-135.01, ch3percent=64.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1647, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:22] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:22, systemid=3, lat=35.0679777, lon=129.0891291, alt=30.146, dist_traveled=null, wp_dist=191, dist_to_home=1.3462253673377592E7, vertical_speed=-0.1960244, ground_speed=25.473404, wind_vel=0.17513895, airspeed=25.028067, gps_hdop=1.21, roll=14.07, pitch=-2.59, yaw=-128.73, ch3percent=64.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1643, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:23] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:23, systemid=3, lat=35.0678463, lon=129.0889019, alt=29.942, dist_traveled=null, wp_dist=166, dist_to_home=1.3462241115910558E7, vertical_speed=-0.19145565, ground_speed=25.426945, wind_vel=0.1761939, airspeed=25.005894, gps_hdop=1.21, roll=7.57, pitch=-2.75, yaw=-124.72, ch3percent=64.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1647, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:24] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:24, systemid=3, lat=35.0677222, lon=129.0886667, alt=29.762, dist_traveled=null, wp_dist=140, dist_to_home=1.34622275552546E7, vertical_speed=-0.10952424, ground_speed=25.443743, wind_vel=0.17717455, airspeed=25.04099, gps_hdop=1.21, roll=2.59, pitch=-2.63, yaw=-122.71, ch3percent=65.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1654, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:25] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:25, systemid=3, lat=35.067601, lon=129.0884286, alt=29.721, dist_traveled=null, wp_dist=114, dist_to_home=1.3462213618931122E7, vertical_speed=0.0014100167, ground_speed=25.470926, wind_vel=0.1783697, airspeed=25.03318, gps_hdop=1.21, roll=-0.45, pitch=-2.46, yaw=-122.18, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:26] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:26, systemid=3, lat=35.0674794, lon=129.0881904, alt=29.752, dist_traveled=null, wp_dist=89, dist_to_home=1.346219969304805E7, vertical_speed=0.034833748, ground_speed=25.491228, wind_vel=0.18006168, airspeed=24.993645, gps_hdop=1.21, roll=-2.21, pitch=-2.42, yaw=-122.47, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:27] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:27, systemid=3, lat=35.0673557, lon=129.0879541, alt=29.788, dist_traveled=null, wp_dist=63, dist_to_home=1.346218602249148E7, vertical_speed=-0.0014309722, ground_speed=25.516134, wind_vel=0.18211886, airspeed=24.989925, gps_hdop=1.21, roll=-2.87, pitch=-2.46, yaw=-123.27, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:28] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:28, systemid=3, lat=35.0672296, lon=129.0877221, alt=29.844, dist_traveled=null, wp_dist=38, dist_to_home=1.3462172819298496E7, vertical_speed=0.06115382, ground_speed=25.459354, wind_vel=0.18636817, airspeed=24.993086, gps_hdop=1.21, roll=-2.71, pitch=-2.38, yaw=-124.33, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:29] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:29, systemid=3, lat=35.0671004, lon=129.0874926, alt=29.885, dist_traveled=null, wp_dist=13, dist_to_home=1.346215996793953E7, vertical_speed=0.0313559, ground_speed=25.420263, wind_vel=0.19112736, airspeed=24.972044, gps_hdop=1.21, roll=-2.40, pitch=-2.37, yaw=-125.22, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:30] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:30, systemid=3, lat=35.0669685, lon=129.0872652, alt=29.933, dist_traveled=null, wp_dist=116, dist_to_home=1.3462147416613946E7, vertical_speed=0.042784058, ground_speed=25.419333, wind_vel=0.19598897, airspeed=24.971292, gps_hdop=1.21, roll=-0.45, pitch=-2.41, yaw=-125.72, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:31] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:31, systemid=3, lat=35.0668597, lon=129.0870194, alt=29.99, dist_traveled=null, wp_dist=97, dist_to_home=1.3462132261403795E7, vertical_speed=1.4272822, ground_speed=25.878115, wind_vel=0.1992556, airspeed=25.173521, gps_hdop=1.21, roll=44.67, pitch=5.16, yaw=-105.94, ch3percent=83.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1831, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:32] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:32, systemid=3, lat=35.0668309, lon=129.086741, alt=31.016, dist_traveled=null, wp_dist=75, dist_to_home=1.3462110655527063E7, vertical_speed=-0.30841875, ground_speed=25.63342, wind_vel=0.20211615, airspeed=25.161615, gps_hdop=1.21, roll=41.11, pitch=-1.50, yaw=-94.22, ch3percent=67.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1674, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:33] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:33, systemid=3, lat=35.066861, lon=129.0864622, alt=30.953, dist_traveled=null, wp_dist=959, dist_to_home=1.3462086246876441E7, vertical_speed=-0.22900248, ground_speed=25.850704, wind_vel=0.20364684, airspeed=25.2498, gps_hdop=1.21, roll=59.68, pitch=0.07, yaw=-72.32, ch3percent=91.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1919, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:34] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:34, systemid=3, lat=35.0670049, lon=129.0862442, alt=32.056, dist_traveled=null, wp_dist=956, dist_to_home=1.3462061501194E7, vertical_speed=1.658395, ground_speed=26.046772, wind_vel=0.2017354, airspeed=25.699186, gps_hdop=1.21, roll=53.69, pitch=3.62, yaw=-38.74, ch3percent=71.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1710, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:35] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:35, systemid=3, lat=35.0672126, lon=129.0861159, alt=32.605, dist_traveled=null, wp_dist=943, dist_to_home=1.3462041153156418E7, vertical_speed=-0.18323207, ground_speed=25.783506, wind_vel=0.19570541, airspeed=25.372456, gps_hdop=1.21, roll=52.43, pitch=-0.18, yaw=-18.99, ch3percent=64.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1648, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:36] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:36, systemid=3, lat=35.0674415, lon=129.08609, alt=32.255, dist_traveled=null, wp_dist=923, dist_to_home=1.3462028253320344E7, vertical_speed=-0.54112214, ground_speed=25.555006, wind_vel=0.18797347, airspeed=25.136026, gps_hdop=1.21, roll=47.61, pitch=-1.31, yaw=2.48, ch3percent=59.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1598, waypoints=[], home_location={lon=0.0, lat=0.0}}
