[2025-04-10 04:38:08] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:08, systemid=3, lat=35.0674927, lon=129.086094, alt=31.895, dist_traveled=null, wp_dist=919, dist_to_home=1.3462026175565667E7, vertical_speed=-0.6590012, ground_speed=25.542599, wind_vel=0.19297527, airspeed=25.180548, gps_hdop=1.21, roll=46.40, pitch=-1.66, yaw=6.71, ch3percent=59.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1597}
[2025-04-10 04:38:10] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:09, systemid=3, lat=35.0677081, lon=129.0861794, alt=31.023, dist_traveled=null, wp_dist=895, dist_to_home=1.3462023089553729E7, vertical_speed=-1.002894, ground_speed=25.274899, wind_vel=0.18045756, airspeed=24.963171, gps_hdop=1.21, roll=37.29, pitch=-3.01, yaw=22.89, ch3percent=57.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1570, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:21] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:21, systemid=3, lat=35.0696705, lon=129.0880697, alt=29.767, dist_traveled=null, wp_dist=618, dist_to_home=1.3462086695776578E7, vertical_speed=0.041020133, ground_speed=25.339453, wind_vel=0.07708303, airspeed=24.85609, gps_hdop=1.21, roll=-0.79, pitch=-2.44, yaw=31.53, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:22] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:22, systemid=3, lat=35.0698624, lon=129.0882186, alt=29.85, dist_traveled=null, wp_dist=593, dist_to_home=1.3462089950234663E7, vertical_speed=0.047817808, ground_speed=25.390493, wind_vel=0.08044339, airspeed=24.860815, gps_hdop=1.21, roll=-0.26, pitch=-2.47, yaw=31.43, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:23] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:23, systemid=3, lat=35.070055, lon=129.0883677, alt=29.893, dist_traveled=null, wp_dist=567, dist_to_home=1.3462093188139478E7, vertical_speed=0.02596309, ground_speed=25.393929, wind_vel=0.08502894, airspeed=24.895315, gps_hdop=1.21, roll=0.19, pitch=-2.47, yaw=31.48, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:24] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:24, systemid=3, lat=35.0702471, lon=129.0885171, alt=29.935, dist_traveled=null, wp_dist=542, dist_to_home=1.3462096474172924E7, vertical_speed=-0.0141711505, ground_speed=25.440273, wind_vel=0.09010817, airspeed=24.914162, gps_hdop=1.21, roll=0.29, pitch=-2.56, yaw=31.56, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:25] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:25, systemid=3, lat=35.0704396, lon=129.0886679, alt=29.975, dist_traveled=null, wp_dist=516, dist_to_home=1.346209985672037E7, vertical_speed=-0.009409574, ground_speed=25.412832, wind_vel=0.09662997, airspeed=24.905495, gps_hdop=1.21, roll=0.35, pitch=-2.51, yaw=31.89, ch3percent=65.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1654, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:26] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:26, systemid=3, lat=35.0706297, lon=129.0888185, alt=29.965, dist_traveled=null, wp_dist=491, dist_to_home=1.3462103335521635E7, vertical_speed=-0.059369933, ground_speed=25.435791, wind_vel=0.10346978, airspeed=24.94675, gps_hdop=1.21, roll=0.12, pitch=-2.67, yaw=32.08, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:27] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:27, systemid=3, lat=35.0708218, lon=129.088971, alt=29.966, dist_traveled=null, wp_dist=466, dist_to_home=1.3462106876818784E7, vertical_speed=-0.024712725, ground_speed=25.463518, wind_vel=0.110673204, airspeed=24.989656, gps_hdop=1.21, roll=0.28, pitch=-2.61, yaw=32.09, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:28] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:28, systemid=3, lat=35.0710145, lon=129.0891249, alt=29.987, dist_traveled=null, wp_dist=440, dist_to_home=1.346211050521952E7, vertical_speed=0.015936602, ground_speed=25.524412, wind_vel=0.11620313, airspeed=24.9458, gps_hdop=1.21, roll=-0.02, pitch=-2.59, yaw=32.32, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:29] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:29, systemid=3, lat=35.0712056, lon=129.0892783, alt=30.02, dist_traveled=null, wp_dist=415, dist_to_home=1.3462114167509653E7, vertical_speed=0.012631198, ground_speed=25.48284, wind_vel=0.12315145, airspeed=24.959276, gps_hdop=1.21, roll=-0.37, pitch=-2.54, yaw=32.36, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:30] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:30, systemid=3, lat=35.071397, lon=129.0894321, alt=29.994, dist_traveled=null, wp_dist=389, dist_to_home=1.3462117848547552E7, vertical_speed=0.019970886, ground_speed=25.519468, wind_vel=0.12899458, airspeed=24.964724, gps_hdop=1.21, roll=-0.27, pitch=-2.52, yaw=32.34, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:31] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:31, systemid=3, lat=35.0715882, lon=129.0895853, alt=29.996, dist_traveled=null, wp_dist=364, dist_to_home=1.3462121489384957E7, vertical_speed=-0.008132959, ground_speed=25.484592, wind_vel=0.13572289, airspeed=25.00974, gps_hdop=1.21, roll=-0.28, pitch=-2.52, yaw=32.30, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:32] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:32, systemid=3, lat=35.0717795, lon=129.0897382, alt=29.99, dist_traveled=null, wp_dist=338, dist_to_home=1.34621251006518E7, vertical_speed=7.075216E-4, ground_speed=25.486568, wind_vel=0.14267044, airspeed=24.989769, gps_hdop=1.21, roll=-0.35, pitch=-2.55, yaw=32.20, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:33] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:33, systemid=3, lat=35.0719709, lon=129.089891, alt=29.977, dist_traveled=null, wp_dist=313, dist_to_home=1.3462128698840931E7, vertical_speed=-0.028596593, ground_speed=25.466814, wind_vel=0.15013473, airspeed=24.965288, gps_hdop=1.21, roll=-0.17, pitch=-2.53, yaw=32.12, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:34] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:34, systemid=3, lat=35.0721623, lon=129.0900433, alt=29.965, dist_traveled=null, wp_dist=287, dist_to_home=1.3462132255670575E7, vertical_speed=-0.017653644, ground_speed=25.487947, wind_vel=0.15700953, airspeed=25.008493, gps_hdop=1.21, roll=0.22, pitch=-2.48, yaw=32.24, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:35] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:35, systemid=3, lat=35.0723535, lon=129.0901961, alt=29.952, dist_traveled=null, wp_dist=262, dist_to_home=1.3462135863010768E7, vertical_speed=0.007348194, ground_speed=25.494522, wind_vel=0.16449946, airspeed=25.001019, gps_hdop=1.21, roll=-0.12, pitch=-2.46, yaw=32.33, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:36] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:36, systemid=3, lat=35.0725461, lon=129.0903502, alt=29.994, dist_traveled=null, wp_dist=236, dist_to_home=1.3462139511575095E7, vertical_speed=0.02127774, ground_speed=25.527546, wind_vel=0.1693568, airspeed=25.02725, gps_hdop=1.21, roll=-0.10, pitch=-2.45, yaw=32.29, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:37] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:37, systemid=3, lat=35.0727382, lon=129.0905039, alt=30.049, dist_traveled=null, wp_dist=211, dist_to_home=1.3462143150542473E7, vertical_speed=-0.0052034254, ground_speed=25.533632, wind_vel=0.17460138, airspeed=24.991327, gps_hdop=1.21, roll=-0.04, pitch=-2.54, yaw=32.31, ch3percent=65.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1654, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:38] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:38, systemid=3, lat=35.0729287, lon=129.0906563, alt=30.059, dist_traveled=null, wp_dist=185, dist_to_home=1.3462146757437838E7, vertical_speed=-0.02536595, ground_speed=25.432072, wind_vel=0.182452, airspeed=24.990448, gps_hdop=1.21, roll=-0.07, pitch=-2.48, yaw=32.31, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:39] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:39, systemid=3, lat=35.073119, lon=129.0908088, alt=30.026, dist_traveled=null, wp_dist=160, dist_to_home=1.3462150381859524E7, vertical_speed=0.009974382, ground_speed=25.442135, wind_vel=0.18990216, airspeed=25.002483, gps_hdop=1.21, roll=-0.21, pitch=-2.46, yaw=32.36, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:40] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:40, systemid=3, lat=35.0733106, lon=129.0909621, alt=30.017, dist_traveled=null, wp_dist=135, dist_to_home=1.3462154010975474E7, vertical_speed=-0.070373535, ground_speed=25.474417, wind_vel=0.19571921, airspeed=24.990545, gps_hdop=1.21, roll=0.10, pitch=-2.65, yaw=32.48, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:41] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:41, systemid=3, lat=35.0735025, lon=129.091116, alt=29.995, dist_traveled=null, wp_dist=109, dist_to_home=1.3462157675328147E7, vertical_speed=0.044196464, ground_speed=25.486599, wind_vel=0.20090123, airspeed=24.994398, gps_hdop=1.21, roll=-0.27, pitch=-2.38, yaw=32.46, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:42] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:42, systemid=3, lat=35.0736939, lon=129.0912694, alt=29.994, dist_traveled=null, wp_dist=84, dist_to_home=1.3462161321840217E7, vertical_speed=0.0378243, ground_speed=25.51487, wind_vel=0.20567654, airspeed=24.992327, gps_hdop=1.21, roll=0.06, pitch=-2.47, yaw=32.47, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:43] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:43, systemid=3, lat=35.0738861, lon=129.0914236, alt=30.016, dist_traveled=null, wp_dist=58, dist_to_home=1.3462164996561559E7, vertical_speed=0.038467318, ground_speed=25.507824, wind_vel=0.20994936, airspeed=24.958147, gps_hdop=1.21, roll=-0.49, pitch=-2.48, yaw=32.42, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:44] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:44, systemid=3, lat=35.0740726, lon=129.0915834, alt=29.924, dist_traveled=null, wp_dist=653, dist_to_home=1.3462169401043918E7, vertical_speed=-0.24804012, ground_speed=25.510527, wind_vel=0.21397653, airspeed=24.952929, gps_hdop=1.21, roll=67.84, pitch=4.01, yaw=63.91, ch3percent=75.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1755, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:45] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:45, systemid=3, lat=35.0741321, lon=129.0918338, alt=30.879, dist_traveled=null, wp_dist=667, dist_to_home=1.3462187250098394E7, vertical_speed=-0.4800848, ground_speed=23.351345, wind_vel=0.21630938, airspeed=23.264124, gps_hdop=1.21, roll=56.65, pitch=-1.07, yaw=89.38, ch3percent=32.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1325, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:46] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:46, systemid=3, lat=35.074101, lon=129.0920834, alt=29.86, dist_traveled=null, wp_dist=671, dist_to_home=1.3462209294832125E7, vertical_speed=-1.7443062, ground_speed=23.14884, wind_vel=0.2123905, airspeed=22.789951, gps_hdop=1.21, roll=55.24, pitch=-3.02, yaw=116.83, ch3percent=48.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1480, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:47] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:47, systemid=3, lat=35.0739775, lon=129.0922841, alt=28.213, dist_traveled=null, wp_dist=666, dist_to_home=1.346223165371041E7, vertical_speed=-0.828404, ground_speed=23.599653, wind_vel=0.20606793, airspeed=23.103687, gps_hdop=1.21, roll=55.17, pitch=-0.52, yaw=150.02, ch3percent=62.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1623, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:48] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:48, systemid=3, lat=35.0737802, lon=129.0923746, alt=27.436, dist_traveled=null, wp_dist=649, dist_to_home=1.3462248397075377E7, vertical_speed=-0.37088534, ground_speed=24.064993, wind_vel=0.1965589, airspeed=23.567404, gps_hdop=1.21, roll=51.54, pitch=0.10, yaw=178.16, ch3percent=64.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1647, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:49] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:49, systemid=3, lat=35.0735663, lon=129.0923458, alt=26.964, dist_traveled=null, wp_dist=626, dist_to_home=1.3462256083841532E7, vertical_speed=-0.5599065, ground_speed=24.316746, wind_vel=0.18399498, airspeed=23.757221, gps_hdop=1.21, roll=42.25, pitch=-1.20, yaw=-161.37, ch3percent=60.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1607, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:50] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:50, systemid=3, lat=35.0733691, lon=129.0922315, alt=26.328, dist_traveled=null, wp_dist=602, dist_to_home=1.34622559346638E7, vertical_speed=-0.71511626, ground_speed=24.464031, wind_vel=0.17108472, airspeed=23.895538, gps_hdop=1.21, roll=25.48, pitch=-2.79, yaw=-148.25, ch3percent=58.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1588, waypoints=[], home_location={lon=0.0, lat=0.0}}
